,tweet_id,mined_at,name,screen_name,followers_count,friends_count,user_location,date,text,hashtags,retweet_count,favorite_count,device,location,retweet_text,quote_text,quote_screen_name,media,truncated_text
0,1187480921294831616,2019-10-24 23:28:24.026601,SafetyGreg,safety_canada7,2928,3303, Republic of Alberta ,2019-10-24 21:28:08,"RT @vanvlietdesign: So then it seems that history is constant, even though the narrative changes.

#MAGA 🇺🇸 #MCGA 🇨🇦#Brexit 🇬🇧 https://t.co…","['MAGA', 'MCGA', 'Brexit']",1,0,Twitter Web App,,"So then it seems that history is constant, even though the narrative changes.

#MAGA 🇺🇸 #MCGA 🇨🇦#Brexit 🇬🇧 https://t.co/mDb8m3ZIKl",None,None,None,False
1,1187480919940067336,2019-10-24 23:28:24.026676,Kristin Tunley-Smith,Kristin1406,3021,3945,European 🇪🇺,2019-10-24 21:28:08,"The more we restrict movement through #brexit, to feed the need for for low wage workers, I can’t see any improvement with #modernslavery in the UK. Heartbroken watching the news about the #chinese39","['brexit', 'modernslavery', 'chinese39']",0,0,Twitter for iPhone,,None,None,None,None,False
2,1187480916483956736,2019-10-24 23:28:24.026711,Terry Allison.🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧,tallison54,3141,1455,"England, United Kingdom",2019-10-24 21:28:07,"RT @DarrenPlymouth: Ian Blackford everyone's favourite whinger, whinging that a #GeneralElection is being called during winter. It's unfair…",['GeneralElection'],35,0,Twitter for iPhone,,"Ian Blackford everyone's favourite whinger, whinging that a #GeneralElection is being called during winter. It's unfair.

Could be worse, could be a heatwave.

#Brexit, the bullshit never ends.

 https://t.co/w21Uj11QLL",None,None,None,False
3,1187480895692820480,2019-10-24 23:28:24.026740,"Ian McIntosh, Esq",mcintoi1,153,1290,,2019-10-24 21:28:02,@ChrisMasonBBC Surely the same argument can be had for cancelling #brexit,['brexit'],0,0,Twitter for Android,,None,None,None,None,False
4,1187480879100301312,2019-10-24 23:28:24.026770,Dreaming of 2012 🔶️🇬🇧 🇪🇺,Dreamingof2012,298,427,Oxfordshire,2019-10-24 21:27:58,As if #Labour has a clue what it will do tomorrow... #Brexit https://t.co/zP9zNwC3S2,"['Labour', 'Brexit']",0,0,Twitter Web App,,None,Brexit: How will Labour respond to PM's gambit? https://t.co/6CMEeUfV8G,BBCPolitics,None,False
5,1187480877976018946,2019-10-24 23:28:24.026798,M. Raza Hussain,MuhammedRaza786,6668,6908,London | Hamburg | Karachi ,2019-10-24 21:27:58,"RT @Newsleaf_com: NEW: ‘#Brexit means Racism’, writes Muhammed Hussain 

https://t.co/gM3QmBCDtX",['Brexit'],2,0,Twitter for iPhone,,"NEW: ‘#Brexit means Racism’, writes Muhammed Hussain 

https://t.co/gM3QmBCDtX",None,None,None,False
6,1187480877170692098,2019-10-24 23:28:24.026826,AlisonRhodesHowarth BA History,AlisonRH,1935,2372,Mirfield UK,2019-10-24 21:27:58,RT @ukreloaded: Should the Tories &amp; The Brexit Party work together to avoid the vote splitting which we witnessed in the Brecon By-Election…,[],455,0,Twitter for iPad,,"Should the Tories &amp; The Brexit Party work together to avoid the vote splitting which we witnessed in the Brecon By-Election?

Brecon and Radnorshire voted Leave - but ended up with a LibDem MP

RT's Appreciated 👍

#GeneralElection #Brexit @Nigel_Farage @BorisJohnson",None,None,None,False
7,1187480870191587330,2019-10-24 23:28:24.026859,Bertrand_new,NewBertrand,302,114,España,2019-10-24 21:27:56,"Many years ago I didn't see 
#Transpotting  but I saw 
#soylentgreen .@BorisJohnson
Then I remembered the #martyr s of #Calais
 ""guerre de cent ans"" our #history at school to build #Brotherhood ?
My first #trip in #London was to discover #Rastafari in #BristolCity No to #Brexit https://t.co/QmVToAjcQI","['Transpotting', 'soylentgreen', 'martyr', 'Calais', 'history', 'Brotherhood', 'trip', 'London', 'Rastafari', 'BristolCity', 'Brexit']",0,0,Twitter for Android,,None,None,None,None,False
8,1187480867402407939,2019-10-24 23:28:24.026888,Sue Jestico Carter,SueJestico,508,4993,"Hampshire, UK",2019-10-24 21:27:55,"RT @unclebuckLLP: 🔥 We’ve got 5 Uncle Buck #Brexit Survival Hampers to giveaway this month! 🧟 For your chance to #win, like this tweet and…","['Brexit', 'win']",438,0,Twitter for Android,,"🔥 We’ve got 5 Uncle Buck #Brexit Survival Hampers to giveaway this month! 🧟 For your chance to #win, like this tweet and follow Uncle Buck on Twitter. Don’t forget to boost your chances by entering on Facebook and email too: https://t.co/Pt3eQk7t4E
Terms and Conditions Apply. https://t.co/KDIJFPYXaA",None,None,None,False
9,1187480861001826304,2019-10-24 23:28:24.026916,36grit,yawdrah,3272,3156,"England, United Kingdom",2019-10-24 21:27:54,"RT @DarrenPlymouth: How can a no deal Brexit be taken off the table if #Corbyn won't agree to the deal that is on the table?

#CorbynIsFrit…","['Corbyn', 'CorbynIsFrit']",79,0,Twitter for iPad,,"How can a no deal Brexit be taken off the table if #Corbyn won't agree to the deal that is on the table?

#CorbynIsFrit #Brexit 

https://t.co/0tZCEuYdrz",None,None,None,False
